20/06/18 16:00, "A formal education will make you a living; self-education will make you a fortune."
20/06/18 18:00, "Timing, perseverance, and 10 years of trying will eventually make you look like an overnight success. ~Biz Stone"
20/06/18 20:00, "The best way to predict the future is to create it."
20/06/19 09:00, "It’s better to look ahead and prepare than to look back and regret."
20/06/19 011:00, "A good plan, violently executed now, is better than a perfect plan next week."
20/06/19 13:00, "Financial freedom is available to those who learn about it and work for it. ~Robert Kiyosaki"
20/06/19 15:00, "Stay committed to your decisions, but stay flexible in your approach. ~Tony Robbins"
20/06/19 17:00, "The way to achieve your own success is to be willing to help somebody else get it first."
20/06/20 09:00, "All you need is the plan, the road map, and the courage to press on to your destination."
20/06/20 11:00, "Do one thing every day that scares you.-Eleanor Roosevelt"
20/06/20 13:00, "If you want to live a happy life, tie it to a goal, not to people or things."
20/06/20 15:00, "Being rich is having money; being wealthy is having time."
20/06/20 17:00, "Don’t look for the needle in the haystack. Just buy the haystack."

